,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,
Subject: Tourism,,,,,,,,,,,
Topic: International Visitor Arrivals (IVA),,,,,,,,,,,
"Table Title: International Visitor Arrivals By Inbound Tourism Markets, Monthly",,,,,,,,,,,
,,,,,,,,,,,
Data last updated: 02/01/2024,,,,,,,,,,,
Source: SINGAPORE TOURISM BOARD,,,,,,,,,,,
,,,,,,,,,,,
Data Series,Total International Visitor Arrivals By Inbound Tourism Markets (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Southeast Asia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Greater China (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> North Asia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> South Asia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> West Asia (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Americas (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Europe (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Oceania (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Africa (Number),Total International Visitor Arrivals By Inbound Tourism Markets -> Others (Number)
  2022 Sep,782215,340369,36676,45900,104616,9810,46342,100653,94039,3713,97
  2022 Aug,728744,315820,33996,50394,94325,11241,44100,110258,65622,2903,85
  2022 Jul,726739,332161,35493,40886,95003,12301,47365,83308,77575,2582,65
  2022 Jun,543733,269088,23566,25153,76667,5839,36723,48879,55574,2184,60
  2022 May,418458,204656,17723,16953,69978,5283,25106,42110,35326,1300,23
  2022 Apr,295095,137294,13729,9940,52271,3997,14729,32971,29323,814,27
  2022 Mar,121207,41170,8563,3555,36779,1721,6521,14625,8126,129,18
  2022 Feb,67765,18760,6177,2508,20077,620,4442,10444,4673,58,6
  2022 Jan,57174,17563,5759,2505,16901,288,2928,7225,3882,114,9
  2021 Dec,92796,30006,5963,2770,33939,361,4590,9450,5632,74,11
  2021 Nov,41179,12937,4307,2032,11879,373,2231,5668,1668,79,5
  2021 Oct,24006,6448,6971,1264,4055,313,1092,3453,332,71,7
  2021 Sep,19009,2774,10099,1299,1105,158,867,2297,366,43,1
  2021 Aug,15887,1933,9978,714,112,207,1001,1515,370,54,3
  2021 Jul,18517,1968,13514,499,342,143,777,874,366,31,3
  2021 Jun,10029,1561,7383,219,19,57,245,286,251,8,0
  2021 May,14190,4478,7852,451,122,108,342,499,294,44,0
  2021 Apr,25737,7262,9591,1068,5640,150,684,1014,292,35,1
  2021 Mar,27202,7331,9467,1008,7233,142,582,1085,318,36,0
  2021 Feb,18141,5666,4984,743,4697,94,523,1128,271,35,0
  2021 Jan,23366,6786,7222,987,5186,141,669,1690,642,42,1
  2020 Dec,24170,8826,8422,1149,2670,175,656,1210,1000,61,1
  2020 Nov,14749,6457,4475,1042,653,112,522,968,481,39,0
  2020 Oct,13399,6378,3626,790,566,128,506,1066,290,49,0
  2020 Sep,9500,3770,2845,568,487,117,443,1007,222,41,0
  2020 Aug,8912,2833,2622,828,717,92,506,1078,181,55,0
  2020 Jul,6843,2310,1410,827,688,136,443,850,160,19,0
  2020 Jun,2171,1100,220,185,147,25,153,266,66,9,0
  2020 May,880,574,29,38,86,6,38,90,18,1,0
  2020 Apr,750,503,33,34,95,8,13,47,14,3,0
  2020 Mar,240001,88027,8410,12809,24252,1019,15567,67261,21275,1381,0
  2020 Feb,732966,247016,36496,69624,64947,5452,53615,190088,62292,3435,1
  2020 Jan,1688102,528985,413392,127547,123324,13545,98790,225192,148055,9271,1
  2019 Dec,1724961,662907,342199,118932,146360,14757,100218,189183,134070,16335,0
  2019 Nov,1533668,565680,319671,125534,139058,12438,82972,179959,100883,7472,1
  2019 Oct,1530479,555996,331072,136707,142972,12276,68654,164050,112052,6697,3
  2019 Sep,1463543,511664,318888,132515,129203,11778,64342,159864,127327,7961,1
  2019 Aug,1736102,520958,499809,173762,135500,22847,71328,203813,99796,8289,0
  2019 Jul,1802593,617788,498897,130551,138129,20611,88663,173060,127346,7548,0
  2019 Jun,1551847,622117,338988,102441,170742,14877,81305,110587,104003,6787,0
  2019 May,1487791,535242,349842,102715,202168,8729,69238,119900,94996,4961,0
  2019 Apr,1596724,554453,389376,104688,145854,14102,75440,181375,124189,7247,0
  2019 Mar,1564664,530303,365215,131235,128593,15025,91115,213342,83730,6106,0
  2019 Feb,1499051,455405,423941,132146,108449,9935,77043,213198,74454,4480,0
  2019 Jan,1624593,491810,393850,139127,126665,11527,92393,224478,137660,7083,0
  2018 Dec,1603217,644044,302561,105988,144231,13458,85208,175053,119602,13072,0
  2018 Nov,1406985,514632,280164,124453,142818,10396,75548,167566,85319,6088,1
  2018 Oct,1467380,533250,314537,127966,140584,10437,62266,162926,109285,6129,0
  2018 Sep,1415149,497316,309748,124766,126605,11098,56056,159993,123418,6146,3
  2018 Aug,1683122,509153,487260,163269,130017,21407,60752,206031,97395,7834,4
  2018 Jul,1732896,583679,470287,125988,145372,19564,76827,176230,126691,8256,2
  2018 Jun,1544679,648291,316668,98947,179143,11585,70116,108999,105642,5287,1
  2018 May,1470891,533719,330962,100225,218406,8787,62094,121103,90743,4851,1
  2018 Apr,1544248,556681,370121,94826,152229,12030,69578,168796,112641,7346,0
  2018 Mar,1584406,553248,349144,132206,130137,20025,85412,210751,96834,6648,1
  2018 Feb,1491970,451842,452920,121367,102173,11038,76079,200960,70873,4715,3
  2018 Jan,1563359,495111,358429,139610,133622,13833,81781,204876,128660,7433,4
  2017 Dec,1569616,641734,305363,107072,146232,14639,73679,150754,118557,11583,3
  2017 Nov,1397330,503852,311846,127487,109309,11524,74042,159370,93191,6705,4
  2017 Oct,1402299,501024,313669,118060,144299,11036,54388,149618,104578,5627,0
  2017 Sep,1320050,464113,289803,117359,128319,13738,48313,138100,114853,5451,1
  2017 Aug,1559283,477817,458502,155871,118131,21152,53414,179183,88232,6979,2
  2017 Jul,1632135,560387,455964,121532,123743,20463,66833,154203,122061,6948,1
  2017 Jun,1387601,567156,283320,102427,156862,12753,64461,97934,98259,4427,2
  2017 May,1363897,502134,298939,106798,195198,10189,54290,107646,83916,4787,0
  2017 Apr,1470750,555812,338068,95081,134505,12708,55814,163089,108478,7195,0
  2017 Mar,1480161,534535,328080,126243,107296,22042,72468,188890,95041,5566,0
  2017 Feb,1361010,437738,342756,132843,95038,11749,68575,188107,79801,4403,0
  2017 Jan,1480479,478812,389744,113643,100555,12581,72376,177009,128719,7040,0
  2016 Dec,1506134,637752,286667,101187,123606,14895,67650,150103,113380,10784,110
  2016 Nov,1235433,465948,247733,100810,114255,11281,60401,144990,83536,6478,1
  2016 Oct,1237675,471598,232317,97212,119033,11017,53083,149426,97974,6015,0
  2016 Sep,1144063,413178,232061,106835,97415,17859,42901,123106,105400,5308,0
  2016 Aug,1481876,447752,433176,155678,107278,22592,48661,167971,92290,6478,0
  2016 Jul,1622405,607290,430751,119480,115028,24247,59258,140279,119907,6165,0
  2016 Jun,1270531,493485,302687,98803,130189,8629,56233,86155,90417,3932,1
  2016 May,1357543,541795,304453,99965,164572,11708,50578,103933,75598,4941,0
  2016 Apr,1393972,516058,346908,91011,121482,12264,52570,141925,105445,6308,1
  2016 Mar,1406607,499023,328713,120159,99974,20822,63521,181967,86381,6045,2
  2016 Feb,1335097,440596,373011,123252,82979,11158,58800,173348,68362,3591,0
  2016 Jan,1412123,473005,302777,136486,103184,14073,66988,179868,129377,6364,1
  2015 Dec,1424978,612913,240080,111637,114739,15497,60391,147577,113008,9136,0
  2015 Nov,1203992,455128,221707,112895,109202,11096,55155,146342,87045,5417,5
  2015 Oct,1246947,465052,236418,117039,110301,10882,52973,139262,109160,5857,3
  2015 Sep,1131976,414155,219786,113105,91560,15313,42354,119898,110596,5206,3
  2015 Aug,1445062,444137,408047,153400,101316,22048,49942,163413,96656,6102,1
  2015 Jul,1519233,579570,383975,116129,106930,20337,56521,136833,113554,5383,1
  2015 Jun,1184747,496392,222897,90541,121413,9962,55325,88472,95694,4051,0
  2015 May,1222836,512074,214376,96909,151623,10058,48014,99889,85227,4663,3
  2015 Apr,1208624,478213,243881,88349,108179,12262,49143,128157,94029,6410,1
  2015 Mar,1201648,461999,198908,122861,91552,16316,64764,160349,79761,5138,0
  2015 Feb,1188818,380389,327971,113888,76576,9073,57924,147155,72276,3562,4
  2015 Jan,1252608,448133,207586,130360,94529,13037,64780,158529,129274,6377,3
  2014 Dec,1360541,619198,192653,112880,107009,14667,57955,137315,109269,9594,1
  2014 Nov,1144230,463159,194072,109720,92377,10844,52340,134238,81969,5507,4
  2014 Oct,1203527,485039,200246,113472,110357,14898,47969,129264,97886,4191,205
  2014 Sep,1098626,436327,173014,113725,85979,11961,42437,120902,109434,4846,1
  2014 Aug,1362935,480265,305291,151961,95406,27567,47977,153482,94518,6468,0
  2014 Jul,1408400,568294,309197,116155,91829,16438,54556,124542,121954,5435,0
  2014 Jun,1181422,552708,167167,93685,117244,12928,50633,88947,93721,4382,7
  2014 May,1208532,549855,172254,96160,138919,9852,46359,100622,90197,4305,9
  2014 Apr,1245307,511901,224305,87061,103761,12344,48811,140349,110478,6291,6
  2014 Mar,1297551,508913,232681,127048,90346,15614,66875,168535,82577,4948,14
  2014 Feb,1238239,440212,287243,121222,81187,11577,58987,156630,76921,4238,22
  2014 Jan,1345842,497205,264443,119359,85714,11464,60370,162551,138986,5729,21
  2013 Dec,1367404,626753,188271,106966,109328,14064,55788,138066,118586,9575,7
  2013 Nov,1184002,505058,182352,113069,93631,9690,51911,135130,88211,4932,18
  2013 Oct,1203746,512989,180418,108282,93071,15847,50079,130033,108090,4917,20
  2013 Sep,1176142,445923,241300,109529,84032,11861,43109,117020,117498,5852,18
  2013 Aug,1483520,585102,348046,138341,90823,24739,49860,150069,91154,5357,29
  2013 Jul,1419657,512094,366741,112139,94977,12094,56981,130507,128840,5242,42
  2013 Jun,1288950,557007,243393,94290,121033,13492,56119,94881,103351,5298,86
  2013 May,1288282,534890,263093,89444,141973,8816,47760,101794,95910,4506,96
  2013 Apr,1274246,497388,293857,84637,101705,11626,52338,123042,104538,5056,59
  2013 Mar,1368891,523832,280596,124217,91079,14304,62006,170603,95912,5755,587
  2013 Feb,1221365,405346,342660,108731,76153,9734,54112,144455,76189,3659,326
  2013 Jan,1291718,460013,256173,116158,92370,10529,61382,155741,132869,6338,145
  2012 Dec,1360536,593887,236886,100909,103142,12180,57292,131438,115234,8884,684
  2012 Nov,1212079,484855,235903,104935,93535,9208,52501,131485,93865,5397,395
  2012 Oct,1192580,465620,231172,97453,92897,12244,50635,124645,112576,4910,428
  2012 Sep,1051348,407516,183313,97357,78515,10867,41010,113107,113926,5498,239
  2012 Aug,1313604,517640,286756,130287,84393,16915,46622,134641,91197,5106,47
  2012 Jul,1283611,481014,288258,103740,89931,15998,55947,122181,120719,5809,14
  2012 Jun,1157739,502674,182892,86815,114364,14077,52552,87205,106256,5083,5821
  2012 May,1146448,490836,195027,83112,142003,8702,46711,91559,84044,4451,3
  2012 Apr,1201953,493900,246075,80556,98688,10029,47323,126201,92969,6211,1
  2012 Mar,1243133,484166,240492,109198,82938,15711,60074,165101,79598,5855,0
  2012 Feb,1134554,424993,217565,112776,78699,10478,54048,159924,71466,4508,97
  2012 Jan,1198507,432507,270576,96683,73360,10230,51653,150022,107329,6107,40
  2011 Dec,1216637,560480,167257,92226,102226,12264,47529,128389,96626,9634,6
  2011 Nov,1027787,414851,149816,94486,89970,14584,48158,130163,80355,5403,1
  2011 Oct,1085193,437413,184153,91377,95389,9542,47929,117723,95623,6042,2
  2011 Sep,1033747,450741,156030,92553,76611,13020,37354,104492,96987,5934,25
  2011 Aug,1178511,449333,263202,116472,78694,13462,43227,124298,84623,5200,0
  2011 Jul,1273870,497719,277466,96250,93197,22187,53651,113854,112000,7454,92
  2011 Jun,1080066,490223,164488,72355,108583,12476,47880,80166,98646,5249,0
  2011 May,1054104,447119,169371,75400,131217,9512,43167,87405,86375,4536,2
  2011 Apr,1103320,456954,205001,66392,94611,9340,45449,121349,97698,6525,1
  2011 Mar,1071960,434867,179323,89686,74389,17157,56454,140756,73806,5521,1
  2011 Feb,990118,377595,209673,95076,65802,10652,43634,120443,63345,3897,1
  2011 Jan,1055990,396955,181388,89922,80526,10097,49308,132616,107333,7843,2
  2010 Dec,1127581,533890,146472,74178,96082,10819,44765,116043,95127,10205,0
  2010 Nov,964170,391582,138429,79441,89484,13507,43978,129448,72468,5830,3
  2010 Oct,978913,410399,140932,72547,92987,9647,45972,113339,87077,6013,0
  2010 Sep,947585,447797,117856,70739,71215,12752,34775,95864,90846,5739,2
  2010 Aug,996899,361982,202152,90929,75340,13658,44148,123392,78296,6994,8
  2010 Jul,1095047,456012,191372,77397,86537,20156,50467,107517,99208,6376,5
  2010 Jun,951032,433880,117363,66601,102568,11631,46349,82013,85528,5095,4
  2010 May,946676,403211,122304,69073,133278,8692,40131,92340,72648,4999,0
  2010 Apr,939013,390638,143627,60001,94417,9170,43034,113930,77745,6449,2
  2010 Mar,928903,360196,130797,82015,70804,17358,46657,144873,70292,5907,4
  2010 Feb,857387,300249,187197,70307,59574,10370,39669,124919,60674,4418,10
  2010 Jan,908495,331917,135038,77235,74021,8796,44900,130002,99207,7363,16
  2009 Dec,972233,434660,120167,60515,91153,9917,42170,110895,92248,10506,2
  2009 Nov,830173,321009,123723,58613,66228,10364,43839,122820,77327,6248,2
  2009 Oct,844953,314781,123066,59384,85135,7365,41428,114992,92106,6693,3
  2009 Sep,799496,339293,92360,68331,72841,8743,30958,98164,83704,5101,1
  2009 Aug,844649,289154,141676,83076,73878,12389,40065,120519,77091,6801,0
  2009 Jul,882107,327832,124316,77111,87003,14654,45315,107151,91338,7357,30
  2009 Jun,750404,320157,76165,49216,95946,9494,39140,78469,76157,5626,34
  2009 May,726391,286750,86145,51730,104524,7251,33982,82992,68000,5007,10
  2009 Apr,778975,292558,128044,53014,73709,7817,36347,108721,72719,6044,2
  2009 Mar,791236,283896,125937,67628,61328,14730,41421,130029,60594,5570,103
  2009 Feb,689935,231174,113312,70257,56130,7176,35014,116089,56345,4438,0
  2009 Jan,772138,243584,145972,63943,61028,7109,38044,116663,88918,6874,3
  2008 Dec,888001,364652,101998,69963,84023,10542,41347,116318,88456,10628,74
  2008 Nov,765325,266543,111753,72743,73883,7112,40132,117515,68586,6482,576
  2008 Oct,849400,317385,111262,78748,85228,8528,41640,110068,88100,7873,568
  2008 Sep,745794,276194,100597,74721,69508,6922,31823,94826,84600,6013,590
  2008 Aug,850016,279089,136725,96109,80388,15263,40453,115651,77039,8727,572
  2008 Jul,922569,322370,154705,87345,85471,15161,48591,106176,93866,8293,591
  2008 Jun,822954,309564,108212,76951,104211,9461,42579,79538,85419,6431,588
  2008 May,833604,292928,124860,78866,122586,6135,38871,85942,76912,5910,594
  2008 Apr,829438,296937,142790,70311,84085,7158,39477,107745,72444,7903,588
  2008 Mar,910635,312642,140905,97077,76460,13567,50240,141721,69741,7734,548
  2008 Feb,813028,255547,167633,88478,65091,6882,42718,122346,58822,5022,489
  2008 Jan,885290,277557,145726,103460,76189,7206,47540,124515,93022,9504,571
  2007 Dec,953812,367574,134088,94677,89478,8531,46664,109562,89817,12787,634
  2007 Nov,841648,277053,141308,98678,79950,6375,44743,113635,69545,6785,3576
  2007 Oct,917427,372774,122361,85301,76776,6469,46409,106413,87496,7942,5486
  2007 Sep,771453,272728,116353,84525,70842,6412,35013,88819,84688,6820,5253
  2007 Aug,913181,312746,169495,104289,76061,14313,42941,109224,74195,9058,859
  2007 Jul,952836,347869,167225,95406,79495,13900,49383,99256,90380,9338,584
  2007 Jun,850514,340695,120946,79392,98044,7570,42419,73751,80123,7058,516
  2007 May,821248,305549,126217,73313,114903,5637,39413,78426,70147,6795,848
  2007 Apr,819505,300395,144824,70261,77609,6481,39032,102227,68362,9702,612
  2007 Mar,858661,304096,118635,100986,69291,10891,49806,135206,60051,8395,1304
  2007 Feb,758341,242991,162485,78430,54724,5793,40766,121252,46214,4988,698
  2007 Jan,825919,280266,113815,96758,66798,6236,47589,128031,77007,8962,457
  2006 Dec,903578,371005,121114,84583,79502,6646,46432,109711,72785,11289,511
  2006 Nov,800732,279253,128131,95900,66538,5463,45838,112954,58487,7589,579
  2006 Oct,857821,364760,110223,82644,72637,5484,38373,103587,72903,6591,619
  2006 Sep,715527,261202,100087,80696,63987,5994,36588,85794,73482,6999,698
  2006 Aug,870763,299995,158934,107892,66832,12147,41972,105503,69023,7959,506
  2006 Jul,914879,330905,169839,98188,70932,11863,48864,92896,82212,8693,487
  2006 Jun,788955,309637,113776,79551,83838,6656,43520,70681,74589,6236,471
  2006 May,766181,286718,118874,77211,94733,4610,38753,76368,62002,6427,485
  2006 Apr,816654,298081,144917,73113,70380,5012,37580,103077,75336,8712,446
  2006 Mar,819985,279370,130021,98576,63598,8169,46347,124983,61275,7193,453
  2006 Feb,728158,236406,138037,85584,51966,4657,42178,114833,48706,5390,401
  2006 Jan,767908,260033,126500,86071,55323,5530,43328,109806,73612,7267,438
  2005 Dec,829483,330019,na,na,70361,5162,44329,97620,69074,9780,392
  2005 Nov,786117,306080,na,na,60848,4887,43516,101876,55547,6741,492
  2005 Oct,745129,273362,na,na,67805,3884,37363,95228,65480,5853,496
  2005 Sep,705110,255378,na,na,57595,6046,33273,80990,74646,6693,487
  2005 Aug,811099,262695,na,na,59448,11944,40185,99499,60588,7138,422
  2005 Jul,877392,325523,na,na,66286,10861,44947,94581,76182,7538,449
  2005 Jun,747475,298052,na,na,79615,6100,39689,71172,67630,6489,480
  2005 May,709777,270938,na,na,84214,3895,35878,73285,57682,5759,480
  2005 Apr,702985,275606,na,na,60063,3885,32283,87917,55337,7205,437
  2005 Mar,732753,279691,na,na,55393,6271,41560,114920,51793,7150,417
  2005 Feb,627367,221819,na,na,38492,3314,36045,101471,46131,4675,320
  2005 Jan,668334,242557,na,na,44151,4601,41428,106795,72369,6931,220
  2004 Dec,801497,318463,na,na,58843,4695,39706,99681,66111,10004,27
  2004 Nov,752614,302942,na,na,53202,4311,35831,98523,51243,5823,23
  2004 Oct,696431,259771,na,na,53981,3486,34389,91368,62395,5789,13
  2004 Sep,658510,239729,na,na,48279,5196,29532,76922,68584,6005,22
  2004 Aug,746317,244427,na,na,48601,13053,35797,93826,56240,6955,24
  2004 Jul,802890,296310,na,na,52931,11549,39844,89594,70755,7394,17
  2004 Jun,687016,270308,na,na,69656,4999,36474,66000,59677,5064,19
  2004 May,660347,243674,na,na,72775,3357,32422,67374,52318,4734,28
  2004 Apr,653156,245088,na,na,48171,3679,30657,86655,54039,5839,35
  2004 Mar,626350,230047,na,na,37722,5411,35910,102577,43917,6105,15
  2004 Feb,591565,205906,na,na,38581,4307,36811,102941,42295,4371,15
  2004 Jan,651951,229217,na,na,37932,4194,34773,95320,54839,5793,36
  2003 Dec,691786,284778,na,na,48092,3892,33596,87778,49135,7544,25
  2003 Nov,635716,257258,na,na,38429,3386,33091,88866,43983,5065,21
  2003 Oct,586390,218252,na,na,44156,3027,29463,81049,50705,5490,23
  2003 Sep,556871,205538,na,na,39501,3491,26864,67119,51598,4759,16
  2003 Aug,602240,211417,na,na,40246,6138,30866,79477,45340,7009,47
  2003 Jul,540914,229552,na,na,39718,4347,26572,65439,46120,5073,13
  2003 Jun,316587,154516,na,na,27238,1716,16045,35876,25585,2380,5
  2003 May,177808,87217,na,na,16574,623,8200,27667,15472,1468,8
  2003 Apr,203562,69341,na,na,16562,870,7942,43320,17365,2228,4
  2003 Mar,559945,189898,na,na,33245,3734,31344,95480,38399,5593,14
  2003 Feb,613395,186608,na,na,31717,3632,32117,101230,36788,4938,6
  2003 Jan,641734,212722,na,na,36491,3550,38609,104033,55082,6806,4
  2002 Dec,709616,305966,na,na,41947,4232,35602,91460,45553,7666,14
  2002 Nov,588742,198261,na,na,42943,2902,33534,93824,42643,5150,94
  2002 Oct,638673,215542,na,na,42851,3498,33831,93996,59322,6067,978
  2002 Sep,597453,194205,na,na,36855,3825,29671,82979,63998,5862,163
  2002 Aug,671638,194314,na,na,37597,9786,34890,96355,54064,6541,22
  2002 Jul,679574,228393,na,na,38178,9197,37825,89985,66260,6649,86
  2002 Jun,601969,211160,na,na,48929,4301,34847,69878,59391,5965,2706
  2002 May,606144,204173,na,na,57402,2874,32960,73204,54128,5139,895
  2002 Apr,622301,208980,na,na,38882,3613,31247,94599,53236,6248,2
  2002 Mar,655151,210994,na,na,38008,4433,39216,115791,49741,6658,47
  2002 Feb,598861,174226,na,na,28913,4036,35554,100660,40340,4302,149
  2002 Jan,596710,186620,na,na,35131,4231,37174,99089,55393,6586,58
  2001 Dec,670277,286447,na,na,38940,4311,35664,89101,48382,7899,265
  2001 Nov,534049,188091,na,na,34380,2744,30508,90524,44886,5580,38
  2001 Oct,569622,209584,na,na,37260,3490,25313,90279,60177,6641,18
  2001 Sep,593827,197843,na,na,40262,5309,28489,85907,64977,7447,23
  2001 Aug,693902,204982,na,na,40954,16035,35946,101454,55458,7834,42
  2001 Jul,714944,231046,na,na,45967,18053,40804,94893,67844,8608,119
  2001 Jun,609958,211945,na,na,50488,6978,38107,71871,56961,6178,59
  2001 May,605891,207064,na,na,55214,4200,36595,75164,54300,6740,29
  2001 Apr,613320,201794,na,na,43395,4358,35059,94147,53570,8756,23
  2001 Mar,665565,207629,na,na,41279,7614,44693,113874,48611,7786,1546
  2001 Feb,592592,176277,na,na,36440,4212,40128,104960,42547,6135,1484
  2001 Jan,658216,200220,na,na,36096,4803,42249,102458,58769,8385,1741
  2000 Dec,691639,260088,na,na,41473,4625,40850,96642,52954,9532,3204
  2000 Nov,625618,188091,na,na,41090,4021,41877,104033,50600,8156,3787
  2000 Oct,636185,197577,na,na,42897,4600,41014,103453,58158,8342,3579
  2000 Sep,612708,187575,na,na,41994,5179,34764,83964,62655,7297,4474
  2000 Aug,695965,186800,na,na,42366,14904,39201,102605,53711,9017,5600
  2000 Jul,707413,216845,na,na,43995,16364,42133,92623,61102,9129,5033
  2000 Jun,609008,201640,na,na,51863,7358,39138,70483,51210,7508,6583
  2000 May,595838,190775,na,na,56557,3747,36733,73074,46840,7569,4707
  2000 Apr,636970,208686,na,na,44475,4099,36515,98348,50352,10398,2198
  2000 Mar,640922,193663,na,na,35841,6583,46652,104919,43922,8769,2432
  2000 Feb,601281,169471,na,na,32902,3951,43103,103653,36296,6035,1120
  2000 Jan,637852,226457,na,na,33926,5252,41004,94075,48764,7756,938
  1999 Dec,616031,228894,na,na,40854,4470,36627,76941,40862,9001,756
  1999 Nov,594301,174621,na,na,37550,3917,37493,103272,41676,7575,886
  1999 Oct,604306,191640,na,na,40623,4267,39488,101296,54039,8041,700
  1999 Sep,557649,170396,na,na,35106,4900,31832,81907,58301,7625,727
  1999 Aug,629991,171427,na,na,35948,13741,36354,98779,49045,8258,1198
  1999 Jul,629435,192208,na,na,38971,15436,37126,85904,56553,8017,1287
  1999 Jun,575055,210980,na,na,41160,6351,39382,64470,48820,6891,905
  1999 May,558554,218243,na,na,43892,3555,33108,66616,42603,5892,838
  1999 Apr,524455,169143,na,na,36213,3663,33082,87398,42487,7963,1254
  1999 Mar,580426,168475,na,na,31935,6009,45739,103753,45671,7785,1065
  1999 Feb,517554,142582,na,na,26909,3269,34895,88938,33643,5741,1007
  1999 Jan,570444,185362,na,na,28615,4870,39126,90719,50798,7368,1332
  1998 Dec,572910,192539,na,na,34676,4339,37756,82620,42137,8943,875
  1998 Nov,506970,147160,na,na,29402,3696,39173,89770,40769,7123,1043
  1998 Oct,498695,147799,na,na,33834,3965,34391,85173,49893,6554,1052
  1998 Sep,482654,139977,na,na,31034,4848,29131,72520,50332,6101,1282
  1998 Aug,569901,148730,na,na,31455,12510,32299,91502,45119,7239,1067
  1998 Jul,556870,155994,na,na,33567,13031,34541,76823,51009,6896,1057
  1998 Jun,487361,156771,na,na,34740,4554,33809,60369,42634,5534,586
  1998 May,548506,212356,na,na,39796,3423,36737,70838,42395,5187,614
  1998 Apr,491496,146836,na,na,31795,5087,33426,89544,40960,7114,630
  1998 Mar,519496,146330,na,na,30466,5571,40269,93584,38386,6457,968
  1998 Feb,497566,141530,na,na,28803,4564,37383,88791,33727,5158,944
  1998 Jan,509727,151594,na,na,27768,3966,36509,81205,42413,6833,1196
  1997 Dec,576242,207133,na,na,34032,4280,36378,74957,37478,8242,1313
  1997 Nov,535236,176606,na,na,31024,3735,38558,80962,35071,5677,1229
  1997 Oct,495322,166895,na,na,33984,3585,35126,74711,40108,5566,1208
  1997 Sep,564369,179704,na,na,31369,4531,33813,75653,45997,5930,1528
  1997 Aug,645090,181242,na,na,33694,9918,36024,89468,40598,5906,1831
  1997 Jul,692050,241854,na,na,35634,10045,38371,81638,45910,6263,2337
  1997 Jun,607848,210695,na,na,35839,4751,40749,69681,41234,4907,1765
  1997 May,582119,197912,na,na,38873,3413,37590,74909,37070,4823,1744
  1997 Apr,595444,202578,na,na,30966,4815,38891,89875,33681,5762,2058
  1997 Mar,657483,190249,na,na,30205,5380,44080,102370,35732,6657,72
  1997 Feb,634403,219824,na,na,22798,3959,37918,85071,28286,4156,73
  1997 Jan,612265,176468,na,na,27797,3739,42937,88244,41667,6728,67
  1996 Dec,677653,253248,na,na,30410,4604,37426,83373,36191,8880,27
  1996 Nov,599164,181580,na,na,29082,3662,40889,95445,34349,5969,18
  1996 Oct,600917,190942,na,na,31021,4223,40431,92631,40717,6875,13
  1996 Sep,548876,165840,na,na,27818,5000,33599,77274,41284,6736,18
